gene	TAM 1	TAM 2	prol. TAM6	prol. TAM13	DC1	DC2	DC3	DC4	Monocytes	T cells	Regulatory T cells	NK cells	B cells	plasma B cells	Mast cells
Ms4a7	12.56161425	3.491556986	7.139313469	1.886691812	0.387485349	0.587808947	0.229816531	0.279050466	0	0.243655669	0.273950193	0.235247246	0.886800147	0.466061526	1.345034287
Tgfbi	14.8959128	2.490848577	15.81188566	3.590201107	1.179330388	2.273725658	0.492024467	0.373485825	19.26612872	0.323860839	0.403452557	0.345532199	1.649045034	0.663402992	1.114173415
Apoe	191.5456544	0	0	60.52240121	11.41256115	16.98801699	10.30542695	8.961316903	124.5196963	8.989457557	9.606142103	7.878572259	36.89263116	13.7041976	17.09085765
Lyz2	52.23580689	14.20854641	37.04410051	9.765495848	3.279263686	5.457853181	2.371365891	1.950550232	99.42165261	1.920787291	2.133255482	1.801771504	5.116633597	2.624585359	4.872583772
Fth1	217.3120647	0	0	0	38.10524437	75.14764394	33.72460931	66.00776324	217.2140156	21.30283011	30.77580367	20.6880092	38.27109224	15.83548575	47.67101154
Acp5	5.246763787	0.444677409	4.521193882	0.519512528	0.49624816	1.045581597	0.308989537	0.310581195	0	0.973270444	0.849501968	0.376512247	1.222817118	0.472418977	0.42262239
Lst1	7.83724078	0	0	3.113933643	0.870539778	1.962200448	0.989074875	0.406821853	10.5906111	0.320032735	0.409537967	0.27331102	1.351227995	0.408524002	1.728713395
Cxcl16	10.71163197	0	9.814313427	0	4.33265477	0	10.35985512	0.480461666	9.373654984	0.413560158	0.476981542	0.446695496	1.227901197	0.623253425	1.112518802
Cyp4f18	4.156553883	1.261274145	2.877835473	1.263531275	0.181828853	0.836335825	0.18325184	0.230818754	4.88263201	0.106936827	0.132799538	0.081275617	0.966180349	0.330572189	0.728077992
Ctsc	11.91168554	0	13.13101748	0	1.756152871	2.778493859	1.624510629	1.459422142	9.736104924	0.911077664	0.776477492	0.961683741	2.153982623	0.726464297	3.320691751
Ms4a6c	10.86717687	4.354058997	9.277508297	4.464406659	1.673779609	0	0.679060614	0.864393122	18.63059995	0.373784031	0.500648753	0.323879873	1.542736394	0.527784488	1.397950576
Sirpb1c	1.873549734	0.115960067	1.673740979	0.151174363	0.055075206	0.226905617	0.054551393	0.032813563	3.136414626	0.0246722	0.035241484	0.027650821	0.220412583	0.052832661	0.146508695
Ftl1	116.8404388	114.1569809	0	0	27.40331836	30.68513107	57.40284138	35.33271561	100.9810124	10.89566957	13.23927928	11.51905323	21.38833495	23.13745933	53.1609859
Ctss	63.11719391	59.09894901	0	0	7.640561318	23.54318739	11.43551041	12.56347942	63.49035329	4.253726589	6.624542629	3.553190118	10.1869342	5.258383978	8.860029802
Fcgr2b	5.079151002	0	3.911376695	0	0.356918461	0.839400228	0.231278011	0.272117677	5.882757452	0.180194759	0.195699807	0.201135903	1.220480796	0.482975287	0.844429008
